Input_Text,GPT_Match,Required_Confidence_Threshold,Embedding_Matches
peace,atmosphere,0.27,"[[""peace"", 10.0], [""confidence"", 4.59], [""kind"", 4.25], [""nation"", 4.21], [""news"", 4.04], [""energy"", 3.81], [""moon"", 3.74], [""queen"", 3.72], [""yen"", 3.7], [""smile"", 3.67], [""noon"", 3.66], [""woman"", 3.58], [""water"", 3.56], [""forest"", 3.49], [""issue"", 3.44], [""children"", 3.43], [""marriage"", 3.4], [""death"", 3.4], [""phone"", 3.36], [""life"", 3.34], [""place"", 3.34], [""music"", 3.31], [""sex"", 3.29], [""science"", 3.29], [""secretary"", 3.28], [""operation"", 3.27], [""payment"", 3.22], [""match"", 3.21], [""culture"", 3.2], [""isolation"", 3.13], [""currency"", 3.11], [""departure"", 3.07], [""gain"", 3.07], [""activity"", 3.06], [""doctor"", 3.04], [""flight"", 3.02], [""shore"", 3.01], [""jazz"", 3.0], [""association"", 3.0], [""tournament"", 3.0], [""cash"", 2.97], [""discipline"", 2.96], [""hotel"", 2.96], [""slave"", 2.95], [""warning"", 2.95], [""live"", 2.94], [""chemistry"", 2.94], [""proximity"", 2.94], [""star"", 2.93], [""ear"", 2.91], [""sun"", 2.91], [""development"", 2.91], [""brother"", 2.9], [""lad"", 2.9], [""wine"", 2.89], [""oracle"", 2.89], [""recess"", 2.88], [""cock"", 2.88], [""radio"", 2.88], [""girl"", 2.86], [""mother"", 2.86], [""center"", 2.85], [""American"", 2.85], [""article"", 2.84], [""food"", 2.83], [""animal"", 2.82], [""block"", 2.81], [""medal"", 2.8], [""hill"", 2.79], [""eat"", 2.76], [""information"", 2.75], [""jewel"", 2.75], [""personnel"", 2.75], [""performance"", 2.74], [""landscape"", 2.74], [""rook"", 2.74], [""insurance"", 2.73], [""butter"", 2.72], [""effort"", 2.72], [""trading"", 2.72], [""term"", 2.7], [""group"", 2.68], [""rabbi"", 2.68], [""atmosphere"", 2.67]]"
phone,radio,0.46,"[[""phone"", 10.0], [""car"", 5.06], [""doctor"", 4.88], [""fruit"", 4.75], [""ear"", 4.75], [""radio"", 4.56]]"
physics,science,1.0,"[[""science"", 5.85]]"
plane,flight,1.0,"[[""flight"", 5.69]]"
planet,star,0.94,"[[""forest"", 4.95], [""project"", 4.87], [""place"", 4.84], [""moon"", 4.77], [""animal"", 4.68], [""star"", 4.67]]"
population,fauna,0.58,"[[""production"", 5.72], [""nation"", 5.24], [""group"", 5.18], [""culture"", 5.15], [""entity"", 5.03], [""activity"", 4.73], [""object"", 4.71], [""personnel"", 4.65], [""institution"", 4.51], [""issue"", 4.51], [""organism"", 4.45], [""development"", 4.42], [""collection"", 4.4], [""woman"", 4.36], [""industry"", 4.28], [""performance"", 4.17], [""chemistry"", 4.15], [""currency"", 4.02], [""children"", 3.97], [""fruit"", 3.91], [""life"", 3.9], [""place"", 3.87], [""information"", 3.86], [""student"", 3.85], [""operation"", 3.85], [""animal"", 3.79], [""landscape"", 3.78], [""gain"", 3.75], [""kind"", 3.7], [""energy"", 3.69], [""gin"", 3.68], [""article"", 3.68], [""proximity"", 3.66], [""combination"", 3.65], [""history"", 3.63], [""phone"", 3.59], [""project"", 3.58], [""sex"", 3.58], [""term"", 3.57], [""plan"", 3.55], [""news"", 3.54], [""association"", 3.53], [""forest"", 3.52], [""cock"", 3.49], [""confidence"", 3.46], [""importance"", 3.45], [""noon"", 3.43], [""death"", 3.37], [""yen"", 3.36], [""atmosphere"", 3.36], [""peace"", 3.33], [""fauna"", 3.33]]"
possibility,match,0.78,"[[""recommendation"", 4.54], [""production"", 4.36], [""credibility"", 4.32], [""issue"", 4.26], [""importance"", 4.2], [""proximity"", 4.19], [""effort"", 4.18], [""confidence"", 4.12], [""activity"", 4.12], [""operation"", 4.12], [""similarity"", 4.11], [""gain"", 4.01], [""combination"", 4.0], [""conclusion"", 3.97], [""approach"", 3.93], [""chemistry"", 3.8], [""development"", 3.78], [""object"", 3.73], [""flight"", 3.72], [""place"", 3.69], [""project"", 3.68], [""article"", 3.64], [""example"", 3.63], [""plan"", 3.59], [""match"", 3.53]]"
practice,discipline,0.79,"[[""performance"", 5.73], [""activity"", 5.71], [""operation"", 5.59], [""development"", 5.22], [""plan"", 5.17], [""production"", 5.03], [""issue"", 4.94], [""project"", 4.8], [""implement"", 4.7], [""place"", 4.65], [""live"", 4.63], [""industry"", 4.63], [""series"", 4.62], [""doctor"", 4.59], [""discipline"", 4.51]]"
precedent,example,0.5,"[[""antecedent"", 8.12], [""example"", 4.06]]"
prejudice,racism,1.0,"[[""racism"", 5.33]]"
president,governor,1.0,"[[""governor"", 5.84]]"
problem,issue,1.0,"[[""issue"", 6.78]]"
production,industry,0.5,"[[""production"", 10.0], [""performance"", 6.27], [""development"", 6.1], [""operation"", 5.56], [""project"", 5.07], [""industry"", 4.97]]"
professor,student,0.43,"[[""professor"", 10.0], [""doctor"", 4.69], [""student"", 4.32]]"
profit,gain,1.0,"[[""gain"", 6.16]]"
psychology,psychiatry,1.0,"[[""psychiatry"", 6.39]]"
reason,cognition,0.65,"[[""issue"", 4.84], [""example"", 4.18], [""object"", 4.11], [""credibility"", 4.1], [""recommendation"", 3.95], [""place"", 3.84], [""oracle"", 3.82], [""car"", 3.81], [""history"", 3.79], [""chemistry"", 3.73], [""energy"", 3.73], [""antecedent"", 3.71], [""confidence"", 3.68], [""warning"", 3.64], [""artifact"", 3.61], [""plan"", 3.6], [""year"", 3.59], [""science"", 3.56], [""conclusion"", 3.55], [""fruit"", 3.55], [""effort"", 3.55], [""mother"", 3.54], [""currency"", 3.43], [""motto"", 3.42], [""project"", 3.39], [""hill"", 3.36], [""production"", 3.35], [""lad"", 3.34], [""doctor"", 3.31], [""gain"", 3.28], [""implement"", 3.27], [""news"", 3.27], [""operation"", 3.26], [""nation"", 3.26], [""entity"", 3.25], [""term"", 3.22], [""importance"", 3.22], [""series"", 3.2], [""activity"", 3.2], [""buck"", 3.2], [""computation"", 3.17], [""madhouse"", 3.16], [""cognition"", 3.16]]"
report,news,0.88,"[[""warning"", 4.64], [""issue"", 4.36], [""recommendation"", 4.2], [""information"", 4.16], [""project"", 4.12], [""news"", 4.09]]"
rock,music,1.0,"[[""music"", 4.83]]"
rooster,cock,0.48,"[[""rooster"", 10.0], [""rook"", 5.38], [""cock"", 4.84]]"
school,institution,0.75,"[[""student"", 6.5], [""place"", 4.96], [""hotel"", 4.91], [""institution"", 4.85]]"
seafood,lobster,1.0,"[[""lobster"", 5.28]]"
seven,buck,0.7,"[[""series"", 4.48], [""serial"", 3.92], [""tournament"", 3.9], [""year"", 3.81], [""yen"", 3.73], [""queen"", 3.68], [""children"", 3.64], [""month"", 3.61], [""kind"", 3.6], [""wizard"", 3.58], [""doctor"", 3.57], [""woman"", 3.45], [""combination"", 3.33], [""article"", 3.32], [""phone"", 3.3], [""match"", 3.27], [""eye"", 3.21], [""confidence"", 3.2], [""sex"", 3.19], [""student"", 3.17], [""buck"", 3.15]]"
shore,water,0.31,"[[""shore"", 10.0], [""surface"", 5.49], [""hill"", 4.69], [""landscape"", 4.5], [""forest"", 4.47], [""noon"", 3.88], [""departure"", 3.72], [""center"", 3.62], [""moon"", 3.6], [""yen"", 3.6], [""sun"", 3.6], [""oracle"", 3.57], [""woodland"", 3.47], [""star"", 3.38], [""airport"", 3.3], [""place"", 3.3], [""phone"", 3.26], [""live"", 3.25], [""ear"", 3.23], [""operation"", 3.22], [""graveyard"", 3.21], [""loss"", 3.2], [""slave"", 3.2], [""project"", 3.18], [""eye"", 3.12], [""water"", 3.12]]"
shower,water,0.65,"[[""thunderstorm"", 4.67], [""series"", 3.98], [""match"", 3.97], [""stove"", 3.87], [""hike"", 3.69], [""sprint"", 3.61], [""theater"", 3.59], [""girl"", 3.57], [""doctor"", 3.56], [""hotel"", 3.49], [""group"", 3.46], [""noon"", 3.41], [""phone"", 3.38], [""nurse"", 3.37], [""tournament"", 3.36], [""interview"", 3.35], [""radio"", 3.32], [""place"", 3.31], [""basketball"", 3.3], [""collection"", 3.28], [""departure"", 3.25], [""recess"", 3.23], [""sun"", 3.22], [""project"", 3.22], [""jewel"", 3.2], [""madhouse"", 3.2], [""sex"", 3.19], [""smile"", 3.18], [""marriage"", 3.16], [""medal"", 3.15], [""flight"", 3.12], [""shore"", 3.1], [""car"", 3.09], [""water"", 3.06]]"
sign,match,0.93,"[[""term"", 4.9], [""match"", 4.55]]"
situation,issue,1.0,"[[""issue"", 5.55]]"
skin,surface,1.0,"[[""surface"", 5.46]]"
smart,automobile,0.63,"[[""stupid"", 4.24], [""wizard"", 4.23], [""kind"", 4.08], [""science"", 3.97], [""car"", 3.81], [""phone"", 3.77], [""center"", 3.73], [""confidence"", 3.69], [""cash"", 3.66], [""cock"", 3.64], [""woman"", 3.64], [""news"", 3.62], [""star"", 3.61], [""equipment"", 3.48], [""eye"", 3.48], [""match"", 3.41], [""warning"", 3.39], [""doctor"", 3.34], [""block"", 3.34], [""smile"", 3.34], [""slave"", 3.33], [""chemistry"", 3.33], [""object"", 3.28], [""yen"", 3.26], [""children"", 3.25], [""lad"", 3.25], [""information"", 3.22], [""American"", 3.22], [""gain"", 3.2], [""metal"", 3.18], [""student"", 3.16], [""animal"", 3.16], [""fruit"", 3.15], [""CD"", 3.14], [""sprint"", 3.13], [""plan"", 3.11], [""activity"", 3.1], [""combination"", 3.09], [""buck"", 3.08], [""cat"", 3.06], [""implement"", 3.05], [""noon"", 3.05], [""jewel"", 3.01], [""cognition"", 3.01], [""magician"", 3.0], [""article"", 3.0], [""queen"", 2.98], [""ear"", 2.96], [""artifact"", 2.93], [""brother"", 2.89], [""music"", 2.89], [""water"", 2.88], [""tiger"", 2.87], [""series"", 2.86], [""sun"", 2.85], [""serial"", 2.85], [""energy"", 2.85], [""secretary"", 2.82], [""entity"", 2.82], [""mother"", 2.82], [""oracle"", 2.8], [""peace"", 2.8], [""radio"", 2.79], [""hotel"", 2.79], [""trading"", 2.79], [""girl"", 2.79], [""group"", 2.79], [""year"", 2.77], [""food"", 2.77], [""development"", 2.75], [""wine"", 2.75], [""example"", 2.75], [""eat"", 2.74], [""place"", 2.73], [""operation"", 2.69], [""computation"", 2.67], [""automobile"", 2.67]]"
space,star,0.66,"[[""center"", 5.66], [""place"", 5.51], [""object"", 5.35], [""chemistry"", 5.32], [""activity"", 5.32], [""string"", 5.28], [""term"", 5.22], [""match"", 5.15], [""yen"", 5.0], [""entity"", 4.98], [""landscape"", 4.85], [""group"", 4.79], [""plan"", 4.75], [""surface"", 4.63], [""hotel"", 4.61], [""series"", 4.59], [""culture"", 4.55], [""article"", 4.55], [""project"", 4.54], [""issue"", 4.49], [""forest"", 4.48], [""block"", 4.45], [""energy"", 4.42], [""equipment"", 4.38], [""shore"", 4.33], [""proximity"", 4.29], [""month"", 4.23], [""institution"", 4.22], [""fruit"", 4.21], [""sex"", 4.18], [""recess"", 4.16], [""noon"", 4.16], [""example"", 4.16], [""architecture"", 4.15], [""life"", 4.15], [""artifact"", 4.08], [""currency"", 4.08], [""flight"", 4.06], [""science"", 4.04], [""news"", 4.0], [""car"", 4.0], [""development"", 3.99], [""student"", 3.97], [""departure"", 3.96], [""oracle"", 3.95], [""cash"", 3.94], [""peace"", 3.94], [""nation"", 3.93], [""personnel"", 3.92], [""phone"", 3.91], [""substance"", 3.91], [""woman"", 3.89], [""airport"", 3.83], [""year"", 3.76], [""slave"", 3.74], [""operation"", 3.73], [""sprint"", 3.72], [""star"", 3.72]]"
start,departure,0.81,"[[""center"", 5.52], [""match"", 5.07], [""project"", 4.84], [""activity"", 4.83], [""live"", 4.8], [""development"", 4.7], [""series"", 4.56], [""departure"", 4.45]]"
stock,trading,0.92,"[[""collection"", 4.58], [""cash"", 4.46], [""serial"", 4.37], [""currency"", 4.34], [""production"", 4.34], [""artifact"", 4.28], [""loss"", 4.27], [""equipment"", 4.24], [""trading"", 4.24]]"
street,avenue,1.0,"[[""avenue"", 5.05]]"
student,Yale,0.29,"[[""student"", 10.0], [""slave"", 5.06], [""woman"", 5.03], [""girl"", 5.02], [""children"", 4.71], [""institution"", 4.38], [""professor"", 4.32], [""kind"", 4.09], [""hotel"", 4.06], [""doctor"", 4.06], [""lad"", 3.9], [""animal"", 3.88], [""project"", 3.86], [""article"", 3.84], [""yen"", 3.75], [""payment"", 3.74], [""sex"", 3.73], [""nurse"", 3.72], [""departure"", 3.71], [""entity"", 3.7], [""mother"", 3.7], [""personnel"", 3.7], [""group"", 3.68], [""term"", 3.67], [""activity"", 3.66], [""object"", 3.66], [""flight"", 3.63], [""interview"", 3.61], [""year"", 3.6], [""nation"", 3.58], [""news"", 3.58], [""secretary"", 3.56], [""equipment"", 3.54], [""tournament"", 3.53], [""American"", 3.52], [""eat"", 3.5], [""development"", 3.5], [""industry"", 3.44], [""match"", 3.43], [""gain"", 3.43], [""star"", 3.4], [""culture"", 3.38], [""place"", 3.38], [""issue"", 3.36], [""month"", 3.34], [""eye"", 3.33], [""life"", 3.32], [""science"", 3.31], [""queen"", 3.3], [""example"", 3.3], [""live"", 3.29], [""brother"", 3.28], [""information"", 3.28], [""association"", 3.25], [""music"", 3.24], [""gin"", 3.23], [""center"", 3.23], [""egg"", 3.2], [""car"", 3.18], [""airport"", 3.17], [""loss"", 3.16], [""serial"", 3.16], [""chemistry"", 3.15], [""cat"", 3.15], [""water"", 3.13], [""stupid"", 3.12], [""oracle"", 3.08], [""operation"", 3.08], [""history"", 3.07], [""buck"", 3.03], [""phone"", 3.02], [""wizard"", 3.02], [""noon"", 3.01], [""voyage"", 3.0], [""series"", 2.99], [""production"", 2.97], [""performance"", 2.96], [""substance"", 2.96], [""ear"", 2.95], [""plan"", 2.94], [""collection"", 2.91], [""cash"", 2.91], [""soccer"", 2.91], [""moon"", 2.9], [""death"", 2.9], [""surface"", 2.89], [""lobster"", 2.89], [""string"", 2.88], [""block"", 2.88], [""food"", 2.88], [""Jackson"", 2.87], [""forest"", 2.87], [""sun"", 2.86], [""theater"", 2.86], [""Yale"", 2.85]]"
sugar,cash,0.73,"[[""butter"", 4.79], [""substance"", 4.37], [""fruit"", 3.95], [""potato"", 3.89], [""string"", 3.81], [""food"", 3.68], [""cabbage"", 3.52], [""cash"", 3.5]]"
television,radio,0.97,"[[""theater"", 4.86], [""radio"", 4.72]]"
theater,performance,0.34,"[[""theater"", 10.0], [""tournament"", 4.1], [""music"", 3.81], [""activity"", 3.71], [""place"", 3.69], [""hotel"", 3.69], [""center"", 3.58], [""architecture"", 3.48], [""tennis"", 3.44], [""institution"", 3.41], [""performance"", 3.4]]"
tiger,feline,0.46,"[[""tiger"", 10.0], [""jaguar"", 5.73], [""animal"", 4.8], [""mammal"", 4.63], [""feline"", 4.6]]"
train,car,0.94,"[[""equipment"", 5.22], [""car"", 4.89]]"
travel,voyage,0.99,"[[""flight"", 5.84], [""voyage"", 5.77]]"
type,kind,0.89,"[[""entity"", 5.85], [""term"", 5.78], [""object"", 5.32], [""kind"", 5.19]]"
viewer,eye,0.98,"[[""landscape"", 4.79], [""object"", 4.74], [""eye"", 4.69]]"
vodka,**gin**,1.0,[]
volunteer,group,0.65,"[[""nurse"", 4.34], [""student"", 4.18], [""personnel"", 3.87], [""effort"", 3.87], [""slave"", 3.64], [""woman"", 3.59], [""voyage"", 3.51], [""association"", 3.46], [""operation"", 3.45], [""activity"", 3.44], [""interview"", 3.44], [""project"", 3.38], [""hike"", 3.37], [""flight"", 3.27], [""governor"", 3.25], [""gain"", 3.25], [""implement"", 3.18], [""kind"", 3.18], [""development"", 3.15], [""yen"", 3.1], [""smile"", 3.06], [""motto"", 3.04], [""professor"", 3.04], [""live"", 3.03], [""animal"", 3.02], [""doctor"", 3.01], [""performance"", 3.01], [""secretary"", 2.99], [""object"", 2.97], [""nation"", 2.95], [""gin"", 2.95], [""recommendation"", 2.93], [""issue"", 2.92], [""oracle"", 2.92], [""lad"", 2.92], [""departure"", 2.9], [""eat"", 2.88], [""plan"", 2.87], [""fruit"", 2.86], [""tournament"", 2.86], [""entity"", 2.83], [""medal"", 2.83], [""discipline"", 2.83], [""children"", 2.81], [""group"", 2.81]]"
wood,forest,0.95,"[[""woodland"", 5.54], [""forest"", 5.24]]"
word,term,1.0,"[[""term"", 4.7]]"
