Input_Text,Algorithm_Match_GPT,Reasoning,Embedding_Top_Matches,GPT_In_Threshold_Embedding
food,fruit,A type of food item.,"[[""food"", 10.0], [""eat"", 5.68], [""fruit"", 5.3], [""music"", 4.55], [""animal"", 4.28], [""forest"", 4.26], [""wine"", 4.21], [""tableware"", 4.18], [""water"", 4.16], [""equipment"", 4.11], [""information"", 4.08], [""egg"", 4.05], [""potato"", 3.92], [""culture"", 3.9], [""butter"", 3.86], [""life"", 3.84], [""news"", 3.84]]",True
football,soccer,Similar sport involving kicking a ball.,"[[""soccer"", 5.94], [""tournament"", 5.5], [""basketball"", 5.24], [""tennis"", 5.02], [""chemistry"", 4.81], [""music"", 4.76], [""match"", 4.73], [""flight"", 4.71], [""cash"", 4.66], [""car"", 4.58], [""life"", 4.51], [""term"", 4.36], [""currency"", 4.29], [""sex"", 4.27], [""oracle"", 4.26], [""activity"", 4.24], [""fruit"", 4.21], [""hotel"", 4.13], [""trading"", 4.1], [""lad"", 4.09], [""series"", 4.08], [""news"", 4.0], [""culture"", 3.99], [""place"", 3.99]]",True
forest,woodland,Similar meaning as a type of forest.,"[[""forest"", 10.0], [""woodland"", 6.0], [""landscape"", 5.78], [""fruit"", 5.15], [""animal"", 4.89], [""fauna"", 4.84], [""shore"", 4.47], [""architecture"", 4.34], [""food"", 4.26], [""artifact"", 4.18], [""hill"", 4.11], [""graveyard"", 4.05]]",True
fuck,stupid,Profane term expressing frustration or emphasis.,"[[""girl"", 4.99], [""sex"", 4.87], [""slave"", 4.82], [""cock"", 4.74], [""eat"", 4.18], [""death"", 4.11], [""match"", 3.91], [""lad"", 3.9], [""gin"", 3.81], [""life"", 3.8], [""doctor"", 3.79], [""car"", 3.77], [""woman"", 3.74], [""cash"", 3.73], [""loss"", 3.67], [""issue"", 3.65], [""mother"", 3.63], [""gain"", 3.63], [""cat"", 3.61], [""kind"", 3.61], [""food"", 3.58], [""phone"", 3.56], [""place"", 3.55], [""animal"", 3.5], [""example"", 3.49], [""buck"", 3.47], [""flight"", 3.45], [""yen"", 3.44], [""culture"", 3.39], [""fruit"", 3.38], [""stupid"", 3.38], [""egg"", 3.36], [""block"", 3.36], [""term"", 3.35]]",True
furnace,stove,Similar heating appliance used for cooking or warmth.,"[[""stove"", 6.5]]",True
gem,jewel,Similar meaning as a precious stone.,"[[""jewel"", 5.57], [""gin"", 5.35], [""egg"", 4.61], [""gain"", 4.55], [""girl"", 4.49], [""artifact"", 4.47], [""kind"", 4.45], [""fruit"", 4.43], [""yen"", 4.29], [""wizard"", 4.28], [""group"", 4.27], [""object"", 4.27], [""equipment"", 4.13], [""entity"", 4.09], [""match"", 4.08], [""eye"", 4.02], [""medal"", 3.99], [""moon"", 3.97], [""woman"", 3.97], [""animal"", 3.94], [""oracle"", 3.94], [""wine"", 3.87], [""car"", 3.76], [""cock"", 3.76], [""tournament"", 3.75], [""queen"", 3.74]]",True
glass,tableware,Material used for dining and serving purposes.,"[[""wine"", 4.93], [""metal"", 4.66], [""gin"", 4.57], [""tableware"", 4.05], [""phone"", 4.04], [""fruit"", 3.82], [""eye"", 3.82], [""egg"", 3.76], [""jewel"", 3.71], [""cock"", 3.71], [""surface"", 3.65], [""car"", 3.65], [""girl"", 3.58], [""lad"", 3.56], [""food"", 3.55], [""loss"", 3.52], [""water"", 3.52], [""object"", 3.51], [""wizard"", 3.47], [""gain"", 3.45], [""stove"", 3.41], [""yen"", 3.41], [""artifact"", 3.34], [""ear"", 3.33], [""block"", 3.33], [""chemistry"", 3.31]]",True
governor,professor,Leadership role similar to governor.,"[[""governor"", 10.0], [""secretary"", 5.1], [""professor"", 4.06]]",True
holy,oracle,Associated with sacred prophecy and spirituality.,"[[""kind"", 4.24], [""jewel"", 3.93], [""peace"", 3.81], [""oracle"", 3.58], [""brother"", 3.49], [""queen"", 3.45], [""life"", 3.44], [""rabbi"", 3.42], [""noon"", 3.38], [""hike"", 3.38], [""mother"", 3.37], [""doctor"", 3.35], [""smile"", 3.33], [""yen"", 3.33], [""hill"", 3.28], [""month"", 3.27], [""death"", 3.26], [""woman"", 3.24], [""artifact"", 3.2], [""girl"", 3.2], [""eye"", 3.19], [""wizard"", 3.19], [""moon"", 3.18], [""stupid"", 3.17], [""hotel"", 3.16], [""graveyard"", 3.15], [""center"", 3.13], [""chemistry"", 3.11], [""madhouse"", 3.11], [""phone"", 3.1], [""news"", 3.09], [""group"", 3.08], [""lad"", 3.06], [""tournament"", 3.05], [""cock"", 3.04], [""cash"", 3.03], [""currency"", 3.01], [""car"", 3.01], [""match"", 3.01], [""medal"", 3.0], [""culture"", 3.0], [""energy"", 3.0], [""marriage"", 2.99], [""motto"", 2.98], [""gain"", 2.97], [""water"", 2.96], [""fruit"", 2.94], [""butter"", 2.93], [""issue"", 2.91], [""dollar"", 2.91], [""buck"", 2.9], [""jaguar"", 2.9], [""animal"", 2.9], [""eat"", 2.9], [""warning"", 2.89], [""example"", 2.89], [""place"", 2.89], [""series"", 2.88], [""year"", 2.87], [""food"", 2.86]]",True
hospital,nurse,Essential role within hospital setting.,"[[""hotel"", 6.56], [""doctor"", 5.35], [""airport"", 5.29], [""institution"", 4.92], [""place"", 4.59], [""center"", 4.49]]",False
image,object,Visual representation similar to an image.,"[[""entity"", 4.76], [""information"", 4.6], [""artifact"", 4.47], [""eye"", 4.37], [""landscape"", 4.3], [""object"", 4.24], [""issue"", 4.1], [""architecture"", 4.08], [""article"", 4.08], [""music"", 4.04], [""activity"", 3.94], [""institution"", 3.94], [""center"", 3.93], [""gin"", 3.86], [""gain"", 3.86], [""example"", 3.85], [""collection"", 3.78], [""culture"", 3.67], [""animal"", 3.64], [""life"", 3.57], [""eat"", 3.56], [""group"", 3.51], [""equipment"", 3.5], [""surface"", 3.47], [""term"", 3.47], [""flight"", 3.46], [""place"", 3.45], [""production"", 3.45], [""project"", 3.44], [""fruit"", 3.44], [""energy"", 3.42], [""smile"", 3.41], [""serial"", 3.4], [""woman"", 3.36], [""forest"", 3.36], [""girl"", 3.36], [""association"", 3.36], [""queen"", 3.35], [""performance"", 3.35], [""news"", 3.34], [""string"", 3.33], [""sex"", 3.33], [""egg"", 3.29], [""development"", 3.29], [""history"", 3.28], [""jewel"", 3.28], [""cat"", 3.28], [""match"", 3.25], [""hotel"", 3.24], [""chemistry"", 3.24], [""food"", 3.23], [""year"", 3.22], [""lad"", 3.21], [""kind"", 3.2]]",True
investigation,science,Related to systematic investigation.,"[[""interview"", 5.04], [""issue"", 4.55], [""operation"", 4.29], [""recommendation"", 4.05], [""activity"", 3.87], [""information"", 3.71], [""development"", 3.67], [""isolation"", 3.6], [""project"", 3.5], [""collection"", 3.49], [""chemistry"", 3.48], [""insurance"", 3.48], [""conclusion"", 3.47], [""effort"", 3.45], [""personnel"", 3.43], [""science"", 3.43], [""credibility"", 3.4], [""discipline"", 3.4]]",True
jaguar,feline,large wild cat species.,"[[""jaguar"", 10.0], [""tiger"", 5.73], [""cat"", 4.71], [""automobile"", 4.56], [""animal"", 4.4], [""jewel"", 4.36], [""feline"", 4.29], [""car"", 4.19], [""mammal"", 3.99], [""Jackson"", 3.89], [""carnivore"", 3.84]]",True
journal,article,Written piece typically published in a journal.,"[[""article"", 5.41], [""news"", 5.38], [""issue"", 4.74], [""association"", 4.44], [""month"", 4.33], [""history"", 4.28], [""serial"", 4.26], [""year"", 4.21], [""artifact"", 4.19], [""series"", 4.13], [""tournament"", 4.11], [""institution"", 4.09], [""collection"", 4.08], [""radio"", 4.06], [""music"", 4.04], [""activity"", 3.95], [""life"", 3.93], [""student"", 3.91], [""doctor"", 3.9], [""interview"", 3.85], [""live"", 3.82], [""science"", 3.71], [""index"", 3.71], [""culture"", 3.7], [""object"", 3.69], [""oracle"", 3.68], [""term"", 3.67]]",True
journey,voyage,"Synonym, similar meaning to journey.","[[""voyage"", 6.53]]",True
king,tiger,Often referred to as the king of the jungle.,"[[""queen"", 5.91], [""kind"", 5.41], [""cock"", 4.66], [""wizard"", 4.52], [""children"", 4.41], [""group"", 4.24], [""star"", 4.16], [""gin"", 4.15], [""woman"", 4.14], [""lad"", 4.1], [""governor"", 4.1], [""Jackson"", 4.08], [""oracle"", 4.04]]",False
lad,rooster,"Male bird, similar to 'lad' as a young male.","[[""lad"", 10.0], [""car"", 5.02], [""slave"", 5.01], [""flight"", 4.99], [""loss"", 4.87], [""kind"", 4.68], [""hill"", 4.67], [""hotel"", 4.66], [""cock"", 4.62], [""life"", 4.55], [""place"", 4.55], [""girl"", 4.51], [""live"", 4.48], [""gain"", 4.29], [""yen"", 4.18], [""gin"", 4.15], [""lobster"", 4.1], [""CD"", 4.08], [""doctor"", 4.07], [""landscape"", 4.04], [""match"", 4.04], [""noon"", 4.03], [""term"", 3.96], [""departure"", 3.95], [""children"", 3.94], [""cat"", 3.93], [""mother"", 3.93], [""student"", 3.9], [""oracle"", 3.89], [""confidence"", 3.85], [""airport"", 3.79], [""egg"", 3.75], [""eat"", 3.74], [""woman"", 3.71], [""moon"", 3.71], [""ear"", 3.68], [""equipment"", 3.68], [""phone"", 3.65], [""cash"", 3.62], [""queen"", 3.61], [""death"", 3.59], [""culture"", 3.55], [""month"", 3.48], [""smile"", 3.47], [""wizard"", 3.47], [""eye"", 3.41], [""animal"", 3.41], [""recess"", 3.38]]",False
life,organism,Represents living entities within a biological context.,"[[""life"", 10.0], [""live"", 6.94], [""death"", 5.72], [""activity"", 5.11], [""place"", 4.78], [""culture"", 4.77], [""fruit"", 4.73], [""hotel"", 4.69]]",False
line,phone,"""Line"" often refers to a telephone connection.","[[""series"", 5.7], [""match"", 5.57], [""term"", 5.3], [""center"", 5.24], [""chemistry"", 5.15], [""example"", 4.99], [""string"", 4.98], [""place"", 4.79], [""plan"", 4.74], [""serial"", 4.7], [""issue"", 4.58], [""landscape"", 4.56], [""yen"", 4.51], [""group"", 4.33], [""index"", 4.32], [""article"", 4.31], [""activity"", 4.26], [""entity"", 4.24], [""lad"", 4.24], [""oracle"", 4.2], [""life"", 4.2], [""sprint"", 4.14], [""live"", 4.13], [""year"", 4.08], [""car"", 4.04], [""block"", 4.04], [""hill"", 4.0], [""object"", 3.98], [""eye"", 3.97], [""surface"", 3.94], [""collection"", 3.94], [""phone"", 3.93], [""cock"", 3.92], [""gin"", 3.85]]",True
liquid,water,"Essential liquid, most common association.","[[""water"", 5.72], [""metal"", 4.54], [""life"", 4.42], [""substance"", 4.19], [""lad"", 4.04], [""fruit"", 4.04], [""object"", 3.89], [""loss"", 3.88], [""entity"", 3.86]]",True
listing,series,A sequence or list of related items.,"[[""activity"", 5.19], [""series"", 5.03], [""place"", 4.95], [""serial"", 4.89], [""live"", 4.87], [""match"", 4.67], [""collection"", 4.51], [""plan"", 4.41], [""issue"", 4.4], [""tournament"", 4.32], [""index"", 4.27], [""landscape"", 4.24], [""group"", 4.22], [""production"", 4.2], [""payment"", 4.17], [""example"", 4.16], [""performance"", 4.13], [""operation"", 4.12], [""hotel"", 4.11], [""article"", 4.11], [""lad"", 4.1], [""information"", 4.09], [""term"", 4.02], [""object"", 3.99], [""center"", 3.97], [""oracle"", 3.97], [""string"", 3.96], [""trading"", 3.95], [""life"", 3.94], [""insurance"", 3.92], [""project"", 3.88], [""artifact"", 3.88], [""history"", 3.82], [""chemistry"", 3.78], [""equipment"", 3.76], [""entity"", 3.75], [""yen"", 3.71], [""gin"", 3.71], [""industry"", 3.69], [""year"", 3.69], [""car"", 3.68], [""warning"", 3.65], [""block"", 3.61], [""departure"", 3.61], [""doctor"", 3.59], [""news"", 3.58], [""CD"", 3.58], [""loss"", 3.57], [""architecture"", 3.57], [""recommendation"", 3.57], [""cash"", 3.55], [""association"", 3.54], [""flight"", 3.53], [""secretary"", 3.5], [""radio"", 3.5], [""sex"", 3.49], [""hill"", 3.48]]",True
lobster,animal,"Lobster is a marine crustacean, part of the animal kingdom.","[[""lobster"", 10.0], [""lad"", 4.1], [""butter"", 4.06], [""oracle"", 4.03], [""cock"", 4.01], [""tiger"", 4.0], [""egg"", 3.97], [""rooster"", 3.96], [""jewel"", 3.95], [""eat"", 3.92], [""slave"", 3.91], [""animal"", 3.88], [""fruit"", 3.87], [""carnivore"", 3.8], [""buck"", 3.79], [""string"", 3.76], [""match"", 3.68], [""potato"", 3.66], [""food"", 3.61], [""loss"", 3.58], [""organism"", 3.52], [""object"", 3.47], [""jaguar"", 3.46], [""woman"", 3.43], [""mammal"", 3.42], [""moon"", 3.32], [""cabbage"", 3.31], [""hotel"", 3.3], [""cucumber"", 3.29], [""car"", 3.27], [""dollar"", 3.2], [""life"", 3.16], [""group"", 3.15], [""term"", 3.15], [""sex"", 3.15], [""example"", 3.12], [""yen"", 3.09], [""crane"", 3.09], [""doctor"", 3.09], [""article"", 3.08], [""tournament"", 3.05], [""girl"", 3.04], [""feline"", 3.03], [""automobile"", 3.02], [""stove"", 3.01], [""gain"", 2.99], [""chemistry"", 2.98], [""cat"", 2.98], [""center"", 2.98], [""queen"", 2.98], [""issue"", 2.96], [""artifact"", 2.93], [""star"", 2.92], [""flight"", 2.92], [""wizard"", 2.92], [""voyage"", 2.91], [""student"", 2.89], [""collection"", 2.88], [""fauna"", 2.88], [""month"", 2.85], [""eye"", 2.85], [""shore"", 2.83], [""medal"", 2.82], [""place"", 2.81], [""nation"", 2.81], [""gin"", 2.81], [""cash"", 2.8], [""departure"", 2.8], [""mother"", 2.8], [""manslaughter"", 2.79], [""professor"", 2.79], [""recess"", 2.78], [""tableware"", 2.78], [""ear"", 2.78], [""operation"", 2.75]]",True
magician,wizard,"similar to magician, magical practitioner.","[[""magician"", 10.0], [""wizard"", 5.67]]",True
man,lad,Similar to a young man.,"[[""woman"", 7.08], [""girl"", 5.47], [""animal"", 5.34], [""slave"", 5.04], [""object"", 5.0], [""kind"", 4.99], [""children"", 4.75]]",False
marathon,sprint,Another running event similar to marathon.,"[[""kilometer"", 4.29], [""medal"", 4.1], [""sprint"", 3.97], [""tournament"", 3.96], [""marriage"", 3.77], [""month"", 3.75], [""hike"", 3.64], [""motto"", 3.56], [""series"", 3.55], [""tennis"", 3.43], [""match"", 3.4], [""lobster"", 3.36], [""madhouse"", 3.35], [""serial"", 3.34], [""term"", 3.2], [""association"", 3.19], [""moon"", 3.17], [""car"", 3.15], [""article"", 3.1], [""project"", 3.09], [""voyage"", 3.09], [""star"", 3.07], [""center"", 3.05], [""slave"", 3.02], [""avenue"", 2.99], [""activity"", 2.99], [""oracle"", 2.99], [""performance"", 2.95], [""operation"", 2.95], [""fruit"", 2.95], [""woman"", 2.95], [""century"", 2.93], [""animal"", 2.93], [""automobile"", 2.9], [""example"", 2.9], [""artifact"", 2.88]]",True
media,radio,Direct form of mass communication medium.,"[[""information"", 4.85], [""music"", 4.43], [""radio"", 4.42], [""news"", 4.38], [""activity"", 3.78], [""metal"", 3.72], [""center"", 3.67], [""culture"", 3.66], [""production"", 3.66], [""article"", 3.59], [""industry"", 3.56], [""equipment"", 3.5], [""energy"", 3.41], [""science"", 3.37], [""issue"", 3.36], [""payment"", 3.34], [""food"", 3.26]]",True
midday,noon,Represents the middle of the day.,"[[""noon"", 5.89], [""moon"", 4.09], [""month"", 4.0]]",True
mile,kilometer,Both are units of measuring distance.,"[[""month"", 5.49], [""kilometer"", 5.1], [""hill"", 4.92], [""moon"", 4.71], [""car"", 4.63], [""year"", 4.22], [""hike"", 4.02], [""avenue"", 3.9], [""hotel"", 3.89], [""dollar"", 3.87], [""life"", 3.86], [""center"", 3.82], [""motto"", 3.8], [""medal"", 3.79], [""star"", 3.77], [""flight"", 3.76], [""match"", 3.75], [""yen"", 3.74], [""currency"", 3.72], [""buck"", 3.72], [""smile"", 3.7]]",True
ministry,institution,A governmental or organizational body.,"[[""secretary"", 4.65], [""institution"", 3.98], [""personnel"", 3.88], [""operation"", 3.67], [""motto"", 3.66], [""activity"", 3.65], [""discipline"", 3.65], [""marriage"", 3.62], [""chemistry"", 3.54], [""production"", 3.37], [""life"", 3.37], [""month"", 3.36], [""development"", 3.34], [""governor"", 3.32], [""recess"", 3.29], [""infrastructure"", 3.28], [""music"", 3.27], [""theater"", 3.26], [""effort"", 3.22], [""plan"", 3.21], [""substance"", 3.18], [""issue"", 3.17], [""importance"", 3.15], [""organism"", 3.15], [""center"", 3.14], [""association"", 3.14], [""voyage"", 3.13], [""nurse"", 3.13]]",True
minority,group,Represents a smaller subset within population.,"[[""racism"", 4.06], [""woman"", 3.98], [""issue"", 3.88], [""nation"", 3.81], [""student"", 3.67], [""group"", 3.54], [""American"", 3.42], [""isolation"", 3.39], [""slave"", 3.38], [""loss"", 3.37], [""culture"", 3.35], [""article"", 3.35], [""block"", 3.35], [""term"", 3.34], [""news"", 3.32], [""recess"", 3.15], [""recommendation"", 3.15], [""yen"", 3.14], [""object"", 3.13], [""kind"", 3.1], [""chemistry"", 3.1], [""entity"", 3.07], [""warning"", 3.05], [""association"", 3.04], [""match"", 3.02], [""girl"", 2.99], [""month"", 2.95], [""rabbi"", 2.95], [""activity"", 2.95], [""peace"", 2.93], [""secretary"", 2.91], [""metal"", 2.88], [""artifact"", 2.86], [""example"", 2.86], [""industry"", 2.86], [""animal"", 2.85], [""discipline"", 2.83], [""combination"", 2.83], [""buck"", 2.83], [""children"", 2.8], [""personnel"", 2.8], [""brother"", 2.8], [""gain"", 2.78], [""noon"", 2.78], [""departure"", 2.77], [""medal"", 2.77], [""importance"", 2.76], [""confidence"", 2.73], [""substance"", 2.72]]",True
money,cash,Synonym for money.,"[[""cash"", 6.24], [""payment"", 5.41], [""currency"", 5.41], [""dollar"", 5.07], [""energy"", 4.83], [""gain"", 4.56], [""life"", 4.49], [""food"", 4.48], [""music"", 4.39], [""water"", 4.3], [""woman"", 4.18]]",True
monk,rabbi,Similar religious leadership role.,"[[""rabbi"", 4.43], [""magician"", 3.89], [""tiger"", 3.72], [""month"", 3.7], [""professor"", 3.69], [""moon"", 3.64], [""lobster"", 3.63], [""buck"", 3.61], [""woman"", 3.61], [""discipline"", 3.55], [""object"", 3.5], [""jewel"", 3.48], [""mammal"", 3.45], [""doctor"", 3.45], [""animal"", 3.4], [""wizard"", 3.39], [""rook"", 3.35], [""brother"", 3.34], [""nurse"", 3.29], [""kind"", 3.25], [""cock"", 3.24], [""entity"", 3.21], [""noon"", 3.17], [""oracle"", 3.16], [""slave"", 3.14], [""rooster"", 3.12], [""recess"", 3.11], [""carnivore"", 3.11], [""motto"", 3.07], [""block"", 3.05], [""organism"", 3.04], [""feline"", 3.02], [""cat"", 3.01], [""queen"", 3.0], [""phone"", 2.98]]",True
month,year,Another unit of time similar to month.,"[[""month"", 10.0], [""year"", 6.47], [""term"", 4.82], [""noon"", 4.67], [""moon"", 4.63]]",True
morality,culture,Morality is a key aspect of a culture.,"[[""culture"", 4.24], [""motto"", 3.7], [""discipline"", 3.68], [""cognition"", 3.63], [""credibility"", 3.61], [""manslaughter"", 3.51], [""science"", 3.43], [""organism"", 3.39], [""entity"", 3.34], [""object"", 3.33], [""marriage"", 3.31], [""life"", 3.27], [""kind"", 3.15], [""personnel"", 3.14], [""music"", 3.14], [""death"", 3.11], [""performance"", 3.1], [""psychiatry"", 3.05], [""smile"", 3.03], [""chemistry"", 2.99], [""atmosphere"", 2.97], [""peace"", 2.95], [""history"", 2.95], [""racism"", 2.95], [""confidence"", 2.94], [""activity"", 2.93], [""importance"", 2.92]]",True
murder,manslaughter,Related unlawful killing similar to murder.,"[[""manslaughter"", 7.76]]",True
museum,institution,Similar place where collections are kept.,"[[""theater"", 4.42], [""institution"", 3.86], [""center"", 3.71], [""medal"", 3.7], [""place"", 3.66], [""hotel"", 3.52], [""culture"", 3.45], [""graveyard"", 3.37], [""jewel"", 3.33], [""artifact"", 3.31], [""month"", 3.25], [""madhouse"", 3.15], [""collection"", 3.13], [""article"", 3.09], [""recess"", 3.08], [""history"", 3.07], [""magician"", 3.02], [""forest"", 3.01], [""car"", 3.01], [""object"", 3.0], [""avenue"", 2.97]]",True
music,jazz,A genre closely related to music.,"[[""music"", 10.0], [""jazz"", 4.97], [""science"", 4.85], [""metal"", 4.65], [""culture"", 4.62], [""life"", 4.55], [""food"", 4.55], [""radio"", 4.44], [""information"", 4.27], [""wine"", 4.19], [""artifact"", 4.14], [""architecture"", 4.13], [""energy"", 4.12], [""payment"", 4.09], [""sex"", 4.08], [""chemistry"", 4.02], [""equipment"", 4.01], [""activity"", 3.97], [""news"", 3.94], [""industry"", 3.87], [""issue"", 3.86], [""girl"", 3.84], [""ear"", 3.81], [""theater"", 3.81], [""water"", 3.79], [""car"", 3.74], [""currency"", 3.74], [""history"", 3.73], [""phone"", 3.72], [""animal"", 3.71], [""forest"", 3.7], [""production"", 3.67], [""performance"", 3.66], [""fruit"", 3.61], [""nation"", 3.6], [""CD"", 3.54], [""eat"", 3.52], [""live"", 3.47], [""year"", 3.46], [""children"", 3.44], [""landscape"", 3.44], [""soccer"", 3.43], [""woman"", 3.4], [""doctor"", 3.38], [""article"", 3.38], [""tournament"", 3.36], [""yen"", 3.36], [""entity"", 3.36], [""hotel"", 3.35]]",True
noon,moon,"Similar sound to ""noon"".","[[""noon"", 10.0], [""moon"", 5.0], [""sun"", 4.73], [""month"", 4.67], [""kind"", 4.44], [""chemistry"", 4.39], [""phone"", 4.19], [""fruit"", 4.16], [""center"", 4.1], [""thunderstorm"", 4.09], [""lad"", 4.03], [""match"", 4.03], [""hill"", 3.96], [""hotel"", 3.91], [""term"", 3.9], [""cock"", 3.9], [""mother"", 3.89], [""shore"", 3.88], [""yen"", 3.87], [""woman"", 3.81], [""children"", 3.76], [""place"", 3.74], [""eye"", 3.73], [""object"", 3.72], [""activity"", 3.7], [""death"", 3.69], [""ear"", 3.67], [""peace"", 3.66], [""forest"", 3.65], [""surface"", 3.65], [""life"", 3.62], [""landscape"", 3.59], [""article"", 3.56], [""airport"", 3.56], [""oracle"", 3.53], [""atmosphere"", 3.52], [""doctor"", 3.52], [""live"", 3.5], [""departure"", 3.5], [""girl"", 3.43], [""radio"", 3.4], [""warning"", 3.39], [""rook"", 3.37]]",True
observation,information,Observation provides essential data for analysis.,"[[""object"", 5.3], [""operation"", 5.1], [""collection"", 4.9], [""activity"", 4.88], [""warning"", 4.67], [""artifact"", 4.59], [""oracle"", 4.4], [""performance"", 4.28], [""departure"", 4.14], [""noon"", 4.07], [""issue"", 4.01], [""doctor"", 4.01], [""interview"", 4.01], [""eye"", 4.0], [""animal"", 3.99], [""example"", 3.97], [""landscape"", 3.87], [""entity"", 3.83], [""group"", 3.82], [""place"", 3.81], [""index"", 3.79], [""culture"", 3.78], [""cock"", 3.76], [""equipment"", 3.76], [""match"", 3.71], [""student"", 3.7], [""serial"", 3.68], [""institution"", 3.68], [""tournament"", 3.67], [""live"", 3.66], [""recognition"", 3.66], [""history"", 3.65], [""article"", 3.64], [""development"", 3.62], [""block"", 3.62], [""information"", 3.6], [""recommendation"", 3.6], [""voyage"", 3.59]]",True
opera,theater,Related to performing arts and stage productions.,"[[""theater"", 5.41], [""operation"", 4.64], [""jazz"", 3.99], [""music"", 3.98], [""tournament"", 3.74], [""oracle"", 3.73], [""performance"", 3.69], [""object"", 3.69]]",True
peace,atmosphere,Represents the mood or feeling.,"[[""peace"", 10.0], [""confidence"", 4.59], [""kind"", 4.25], [""nation"", 4.21], [""news"", 4.04], [""energy"", 3.81], [""moon"", 3.74], [""queen"", 3.72], [""yen"", 3.7], [""smile"", 3.67], [""noon"", 3.66], [""woman"", 3.58], [""water"", 3.56], [""forest"", 3.49], [""issue"", 3.44], [""children"", 3.43], [""marriage"", 3.4], [""death"", 3.4], [""phone"", 3.36], [""life"", 3.34], [""place"", 3.34], [""music"", 3.31], [""sex"", 3.29], [""science"", 3.29], [""secretary"", 3.28], [""operation"", 3.27], [""payment"", 3.22], [""match"", 3.21], [""culture"", 3.2], [""isolation"", 3.13], [""currency"", 3.11]]",False
phone,radio,Closely related communication device.,"[[""phone"", 10.0], [""car"", 5.06], [""doctor"", 4.88], [""fruit"", 4.75], [""ear"", 4.75], [""radio"", 4.56], [""cock"", 4.54], [""equipment"", 4.47], [""hotel"", 4.33], [""chemistry"", 4.3], [""yen"", 4.24], [""cash"", 4.21], [""noon"", 4.19], [""girl"", 4.15], [""woman"", 4.05], [""life"", 4.0], [""children"", 4.0], [""object"", 3.93], [""cat"", 3.92], [""place"", 3.88], [""kind"", 3.82], [""year"", 3.8], [""eye"", 3.8], [""water"", 3.78], [""payment"", 3.76], [""airport"", 3.75], [""news"", 3.74], [""activity"", 3.73], [""term"", 3.72], [""music"", 3.72], [""metal"", 3.68], [""lad"", 3.65], [""center"", 3.63], [""automobile"", 3.62], [""flight"", 3.59], [""information"", 3.58], [""example"", 3.57], [""issue"", 3.56], [""food"", 3.55], [""block"", 3.55], [""CD"", 3.55], [""mother"", 3.54], [""animal"", 3.53], [""serial"", 3.5], [""hill"", 3.45], [""match"", 3.44], [""energy"", 3.44], [""confidence"", 3.44], [""series"", 3.42], [""currency"", 3.42], [""gin"", 3.41], [""proximity"", 3.4], [""oracle"", 3.4]]",True
physics,science,Physics is a branch within the broader field of science.,"[[""science"", 5.85], [""chemistry"", 5.5], [""energy"", 5.23], [""history"", 4.33], [""issue"", 4.23], [""architecture"", 4.21], [""music"", 4.12], [""entity"", 4.12], [""phone"", 4.05], [""activity"", 4.03], [""object"", 4.0], [""life"", 4.0], [""production"", 3.96]]",True
plane,flight,Related to plane's movement in the air.,"[[""flight"", 5.69], [""plan"", 5.6], [""airport"", 5.27], [""landscape"", 4.55], [""departure"", 4.36], [""car"", 4.27], [""place"", 4.22], [""project"", 4.15], [""voyage"", 4.06], [""lad"", 4.05], [""animal"", 3.91], [""hotel"", 3.89], [""crane"", 3.89]]",True
planet,star,Similar celestial body in the astronomical context.,"[[""forest"", 4.95], [""project"", 4.87], [""place"", 4.84], [""moon"", 4.77], [""animal"", 4.68], [""star"", 4.67], [""landscape"", 4.63], [""institution"", 4.63], [""plan"", 4.56], [""atmosphere"", 4.44], [""nation"", 4.23], [""oracle"", 4.21], [""object"", 4.2], [""life"", 4.2], [""center"", 4.02], [""group"", 4.01], [""woman"", 3.98], [""peace"", 3.94], [""production"", 3.94], [""culture"", 3.92], [""artifact"", 3.92], [""entity"", 3.89], [""fruit"", 3.89], [""operation"", 3.88], [""live"", 3.85], [""wizard"", 3.84], [""doctor"", 3.83], [""sun"", 3.83], [""development"", 3.72], [""news"", 3.71], [""water"", 3.7], [""radio"", 3.7], [""shore"", 3.68], [""organism"", 3.68], [""surface"", 3.67], [""tournament"", 3.66], [""car"", 3.66], [""series"", 3.64], [""science"", 3.59], [""article"", 3.52], [""issue"", 3.51], [""cat"", 3.48], [""equipment"", 3.45], [""noon"", 3.45], [""energy"", 3.41], [""hotel"", 3.39], [""activity"", 3.38], [""industry"", 3.36], [""metal"", 3.35], [""currency"", 3.35], [""personnel"", 3.33], [""children"", 3.32]]",True
population,fauna,Represents groups of animals in a specific region.,"[[""production"", 5.72], [""nation"", 5.24], [""group"", 5.18], [""culture"", 5.15], [""entity"", 5.03], [""activity"", 4.73], [""object"", 4.71], [""personnel"", 4.65], [""institution"", 4.51], [""issue"", 4.51], [""organism"", 4.45], [""development"", 4.42], [""collection"", 4.4], [""woman"", 4.36], [""industry"", 4.28], [""performance"", 4.17], [""chemistry"", 4.15], [""currency"", 4.02], [""children"", 3.97], [""fruit"", 3.91], [""life"", 3.9], [""place"", 3.87], [""information"", 3.86], [""student"", 3.85], [""operation"", 3.85]]",False
